Year,Month,Month_Name,Hour,birth year,gender,usertype,total_rides,avg_trip_duration,age
2018,1,January,0,1957,Male,Subscriber,4,78.75,62
2018,1,January,0,1958,Male,Subscriber,1,374.0,61
2018,1,January,0,1962,Male,Subscriber,13,695.3846153846154,57
2018,1,January,0,1964,Male,Subscriber,2,362.5,55
2018,1,January,0,1968,Male,Subscriber,1,2421.0,51
2018,1,January,0,1970,Male,Subscriber,1,129.0,49
2018,1,January,0,1971,Female,Subscriber,1,305.0,48
2018,1,January,0,1972,Male,Subscriber,2,162.5,47
2018,1,January,0,1974,Male,Subscriber,1,319.0,45
2018,1,January,0,1975,Male,Subscriber,5,2406.8,44
2018,1,January,0,1976,Male,Subscriber,3,431.0,43
2018,1,January,0,1978,Unknown,Subscriber,1,364.0,41
2018,1,January,0,1978,Male,Subscriber,2,255.5,41
2018,1,January,0,1978,Female,Subscriber,2,178.5,41
2018,1,January,0,1979,Male,Subscriber,3,400.0,40
2018,1,January,0,1981,Male,Subscriber,1,96.0,38
2018,1,January,0,1982,Male,Customer,1,386.0,37
2018,1,January,0,1982,Male,Subscriber,1,313.0,37
2018,1,January,0,1983,Male,Subscriber,1,302.0,36
2018,1,January,0,1984,Male,Subscriber,2,312.5,35
2018,1,January,0,1984,Female,Subscriber,1,273.0,35
2018,1,January,0,1985,Male,Subscriber,1,99.0,34
2018,1,January,0,1985,Female,Subscriber,1,164.0,34
2018,1,January,0,1986,Male,Subscriber,7,233.85714285714286,33
2018,1,January,0,1986,Female,Subscriber,1,290.0,33
2018,1,January,0,1988,Male,Subscriber,8,556.5,31
2018,1,January,0,1989,Male,Subscriber,2,311.5,30
2018,1,January,0,1989,Female,Subscriber,3,209.0,30
2018,1,January,0,1990,Male,Subscriber,6,429.6666666666667,29
2018,1,January,0,1991,Male,Subscriber,2,545.0,28
2018,1,January,0,1991,Female,Subscriber,2,116.5,28
2018,1,January,0,1992,Male,Subscriber,3,161.33333333333334,27
2018,1,January,0,1992,Female,Subscriber,1,97.0,27
2018,1,January,0,1993,Female,Subscriber,2,562.0,26
2018,1,January,0,1994,Male,Subscriber,1,135.0,25
2018,1,January,0,1994,Female,Subscriber,1,832.0,25
2018,1,January,1,1952,Male,Subscriber,1,331.0,67
2018,1,January,1,1957,Male,Subscriber,3,85.33333333333333,62
2018,1,January,1,1962,Male,Subscriber,2,686.5,57
2018,1,January,1,1964,Male,Subscriber,2,242.0,55
2018,1,January,1,1970,Male,Subscriber,1,115.0,49
2018,1,January,1,1972,Male,Subscriber,2,167.0,47
2018,1,January,1,1973,Male,Subscriber,2,205.0,46
2018,1,January,1,1975,Male,Subscriber,4,1823.75,44
2018,1,January,1,1976,Male,Subscriber,2,240.0,43
2018,1,January,1,1978,Male,Subscriber,1,193.0,41
2018,1,January,1,1979,Male,Subscriber,2,202.0,40
2018,1,January,1,1980,Male,Subscriber,1,317.0,39
2018,1,January,1,1980,Female,Subscriber,1,319.0,39
2018,1,January,1,1981,Male,Subscriber,2,261.5,38
2018,1,January,1,1981,Female,Subscriber,1,376.0,38
2018,1,January,1,1982,Male,Subscriber,2,196.0,37
2018,1,January,1,1982,Female,Subscriber,1,124.0,37
2018,1,January,1,1983,Male,Subscriber,2,165.5,36
2018,1,January,1,1983,Female,Subscriber,1,232.0,36
2018,1,January,1,1985,Male,Subscriber,1,482.0,34
2018,1,January,1,1986,Male,Subscriber,4,177.75,33
2018,1,January,1,1986,Female,Subscriber,1,425.0,33
2018,1,January,1,1988,Male,Subscriber,7,584.4285714285714,31
2018,1,January,1,1989,Male,Subscriber,1,807.0,30
2018,1,January,1,1989,Female,Subscriber,2,434.0,30
2018,1,January,1,1990,Male,Subscriber,6,309.3333333333333,29
2018,1,January,1,1992,Male,Subscriber,1,258.0,27
2018,1,January,1,1994,Male,Subscriber,1,294.0,25
2018,1,January,2,1952,Male,Subscriber,1,611.0,67
2018,1,January,2,1964,Male,Subscriber,1,355.0,55
2018,1,January,2,1969,Unknown,Customer,1,385.0,50
2018,1,January,2,1970,Male,Subscriber,1,225.0,49
2018,1,January,2,1972,Male,Subscriber,1,121.0,47
2018,1,January,2,1974,Male,Subscriber,1,562.0,45
2018,1,January,2,1976,Male,Subscriber,1,142.0,43
2018,1,January,2,1979,Male,Subscriber,1,396.0,40
2018,1,January,2,1980,Male,Subscriber,1,1327.0,39
2018,1,January,2,1980,Female,Subscriber,2,245.5,39
2018,1,January,2,1981,Male,Subscriber,1,148.0,38
2018,1,January,2,1986,Female,Subscriber,1,238.0,33
2018,1,January,2,1987,Male,Subscriber,3,365.0,32
2018,1,January,2,1988,Male,Subscriber,4,556.5,31
